date,transaction_id,account_code,account_name,debit,credit,description,auditor_id
2026-01-03,TXN001,1000,Cash,15000.00,0.00,Payment received from client Alpha,AUD01
2026-01-03,TXN001,4000,Revenue,0.00,15000.00,Payment received from client Alpha,AUD01
2026-01-05,TXN002,1200,Accounts Receivable,8450.75,0.00,Invoice #2201 issued to Beta Corp,AUD02
2026-01-05,TXN002,4000,Revenue,0.00,8450.75,Invoice #2201 issued to Beta Corp,AUD02
2026-01-07,TXN003,6000,Operating Expenses,3200.00,0.00,Office supplies procurement,AUD01
2026-01-07,TXN003,2000,Accounts Payable,0.00,3200.00,Office supplies procurement,AUD01
2026-01-08,TXN004,1000,Cash,10000.00,0.00,Round number cash deposit,AUD03
2026-01-08,TXN004,1200,Accounts Receivable,0.00,10000.00,Round number cash deposit,AUD03
2026-01-10,TXN005,6100,Salaries Expense,45000.00,0.00,January payroll run,AUD02
2026-01-10,TXN005,1000,Cash,0.00,45000.00,January payroll run,AUD02
2026-01-12,TXN006,1000,Cash,5000.00,0.00,Round number client payment,AUD01
2026-01-12,TXN006,4000,Revenue,0.00,5000.00,Round number client payment,AUD01
2026-01-14,TXN007,1500,Prepaid Expenses,2100.50,0.00,Annual insurance premium,AUD03
2026-01-14,TXN007,1000,Cash,0.00,2100.50,Annual insurance premium,AUD03
2026-01-15,TXN008,6200,Utilities Expense,780.00,0.00,Electricity bill January,AUD02
2026-01-15,TXN008,2000,Accounts Payable,0.00,780.00,Electricity bill January,AUD02
2026-01-17,TXN009,1200,Accounts Receivable,50000.00,0.00,Large contract advance — Gamma Ltd,AUD01
2026-01-17,TXN009,4000,Revenue,0.00,50000.00,Large contract advance — Gamma Ltd,AUD01
2026-01-20,TXN010,3000,Equipment,12500.00,0.00,Server hardware purchase,AUD03
2026-01-20,TXN010,2100,Long-term Payables,0.00,12500.00,Server hardware purchase,AUD03
2026-01-22,TXN011,6000,Operating Expenses,950.25,0.00,,AUD02
2026-01-22,TXN011,1000,Cash,0.00,950.25,,AUD02
2026-01-24,TXN012,1000,Cash,20000.00,0.00,Round number intercompany transfer,AUD01
2026-01-24,TXN012,2000,Accounts Payable,0.00,20000.00,Round number intercompany transfer,AUD01
2026-01-27,TXN013,4100,Interest Income,0.00,325.50,Monthly bank interest earned,AUD03
2026-01-27,TXN013,1000,Cash,325.50,0.00,Monthly bank interest earned,AUD03
2026-01-29,TXN014,6300,Marketing Expense,4750.00,0.00,Q1 advertising campaign,AUD02
2026-01-29,TXN014,2000,Accounts Payable,0.00,4750.00,Q1 advertising campaign,AUD02
2026-01-31,TXN015,1200,Accounts Receivable,6800.00,0.00,Invoice #2202 to Delta Inc,AUD01
2026-01-31,TXN015,4000,Revenue,0.00,6800.00,Invoice #2202 to Delta Inc,AUD01
2026-02-03,TXN016,6000,Operating Expenses,1450.00,0.00,Travel and accommodation,AUD03
2026-02-03,TXN016,1000,Cash,0.00,1450.00,Travel and accommodation,AUD03
2026-02-05,TXN017,2000,Accounts Payable,8200.00,0.00,Vendor payment — Epsilon Supplies,AUD02
2026-02-05,TXN017,1000,Cash,0.00,8200.00,Vendor payment — Epsilon Supplies,AUD02
2026-02-07,TXN018,6100,Salaries Expense,45000.00,0.00,February payroll run,AUD01
2026-02-07,TXN018,1000,Cash,0.00,45000.00,February payroll run,AUD01
2026-02-10,TXN019,3000,Equipment,350000.00,0.00,Industrial machinery — outlier purchase,AUD03
2026-02-10,TXN019,2100,Long-term Payables,0.00,350000.00,Industrial machinery — outlier purchase,AUD03
2026-02-12,TXN020,1200,Accounts Receivable,9100.00,0.00,Invoice #2203 to Zeta Ltd,AUD02
2026-02-12,TXN020,4000,Revenue,0.00,9100.00,Invoice #2203 to Zeta Ltd,AUD02
2026-02-14,TXN021,6400,Depreciation Expense,2083.33,0.00,Monthly equipment depreciation,AUD01
2026-02-14,TXN021,3100,Accumulated Depreciation,0.00,2083.33,Monthly equipment depreciation,AUD01
2026-02-17,TXN022,1000,Cash,5000.00,0.00,Round number refund received,AUD03
2026-02-17,TXN022,6500,Refunds & Adjustments,0.00,5000.00,Round number refund received,AUD03
2026-02-19,TXN023,6200,Utilities Expense,820.00,0.00,,AUD02
2026-02-19,TXN023,2000,Accounts Payable,0.00,820.00,,AUD02
2026-02-21,TXN024,1200,Accounts Receivable,3650.00,0.00,Invoice #2204 to Alpha Corp,AUD01
2026-02-21,TXN024,4000,Revenue,0.00,3650.00,Invoice #2204 to Alpha Corp,AUD01
2026-02-24,TXN025,1000,Cash,17800.00,0.00,Collections received — multiple clients,AUD03
2026-02-24,TXN025,1200,Accounts Receivable,0.00,17800.00,Collections received — multiple clients,AUD03
2026-02-26,TXN026,6300,Marketing Expense,2200.00,0.00,Trade show sponsorship,AUD02
2026-02-26,TXN026,2000,Accounts Payable,0.00,2200.00,Trade show sponsorship,AUD02
2026-02-28,TXN027,6100,Salaries Expense,45000.00,0.00,February bonus payroll,AUD01
2026-02-28,TXN027,1000,Cash,0.00,45000.00,February bonus payroll,AUD01
2026-03-03,TXN028,1500,Prepaid Expenses,1800.00,0.00,Software licence renewal,AUD03
2026-03-03,TXN028,1000,Cash,0.00,1800.00,Software licence renewal,AUD03
2026-03-05,TXN029,6000,Operating Expenses,630.00,0.00,,AUD02
2026-03-05,TXN029,2000,Accounts Payable,0.00,630.00,,AUD02
2026-03-07,TXN001,1000,Cash,10000.00,0.00,Duplicate TXN001 — suspicious reentry,AUD01
2026-03-07,TXN001,4000,Revenue,0.00,10000.00,Duplicate TXN001 — suspicious reentry,AUD01
2026-03-09,TXN030,1200,Accounts Receivable,4250.00,0.00,Invoice #2205 to Theta Corp,AUD03
